Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"THRELFALL, John",X. Interests of close family members,,,NO INTEREST,,,2015-09-23,BIOHAZ_doi_019.pdf
"WAHLSTROM, Helene",X. Interests of close family members,,,NO INTEREST,,,2015-11-09,BIOHAZ_doi_020.pdf
"BOLOGNESI, Claudia",X. Interests of close family members,,,NO INTEREST,,,2014-12-03,CEF_doi_000.pdf
"CASTLE, Laurence",X. Interests of close family members,,,NO INTEREST,,,2015-04-19,CEF_doi_001.pdf
"CRAVEDI, Jean-Pierre",X. Interests of close family members,,,NO INTEREST,,,2015-03-05,CEF_doi_002.pdf
"ENGEL, Karl-Heinz",X. Interests of close family members,,,NO INTEREST,,,2015-09-25,CEF_doi_003.pdf
"FOWLER, Paul",X. Interests of close family members,,,NO INTEREST,,,2014-11-19,CEF_doi_004.pdf
"FRANZ, Roland",X. Interests of close family members,,,NO INTEREST,,,2015-08-07,CEF_doi_005.pdf
"GROB, Konrad",X. Interests of close family members,,,NO INTEREST,,,2015-09-11,CEF_doi_006.pdf
"GUERTLER, Rainer",X. Interests of close family members,,,NO INTEREST,,,2015-10-21,CEF_doi_007.pdf
"HUSOY, Trine",X. Interests of close family members,,,NO INTEREST,,,2015-03-02,CEF_doi_008.pdf
"KÄRENLAMPI, Sirpa",X. Interests of close family members,,,NO INTEREST,,,2015-09-11,CEF_doi_009.pdf
"MENNES, Wim",X. Interests of close family members,,,NO INTEREST,,,2014-11-17,CEF_doi_010.pdf
"MILANA, Maria Rosaria",X. Interests of close family members,,,NO INTEREST,,,2015-02-22,CEF_doi_011.pdf
"PENNINKS, André",X. Interests of close family members,,,NO INTEREST,,,2015-10-13,CEF_doi_012.pdf
"SILANO, Vittorio",X. Interests of close family members,,,NO INTEREST,,,2015-09-30,CEF_doi_013.pdf
"SMITH, Andy",X. Interests of close family members,,,NO INTEREST,,,2015-04-22,CEF_doi_014.pdf
"TAVARES POCAS, Maria de Fatima",X. Interests of close family members,,,NO INTEREST,,,2015-02-22,CEF_doi_015.pdf
"TLUSTOS, Christina",X. Interests of close family members,,,NO INTEREST,,,2015-03-03,CEF_doi_016.pdf
"WÖLFLE, Detlef",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,CEF_doi_017.pdf
"ZORN, Holger",X. Interests of close family members,,,NO INTEREST,,,2015-08-13,CEF_doi_018.pdf
"ZUGRAVU, Corina-Aurelia",X. Interests of close family members,,,NO INTEREST,,,2015-05-20,CEF_doi_019.pdf
"ALEXANDER, Jan",X. Interests of close family members,,,NO INTEREST,,,2015-07-14,CONTAM_doi_000.pdf
"BARREGARD, Lars",X. Interests of close family members,,,NO INTEREST,,,2015-04-20,CONTAM_doi_001.pdf
"BIGNAMI, Margherita",X. Interests of close family members,,,NO INTEREST,,,2015-04-30,CONTAM_doi_002.pdf
"CECCATELLI, Sandra",X. Interests of close family members,,,NO INTEREST,,,2015-04-21,CONTAM_doi_003.pdf
"COTTRILL, Bruce",X. Interests of close family members,,,NO INTEREST,,,2015-04-17,CONTAM_doi_004.pdf
"DINOVI, Michael",X. Interests of close family members,,,NO INTEREST,,,2015-04-27,CONTAM_doi_005.pdf
"EDLER, Lutz",X. Interests of close family members,,,NO INTEREST,,,2015-07-04,CONTAM_doi_006.pdf
"GRASL-KRAUPP, Bettina",X. Interests of close family members,,,NO INTEREST,,,2015-04-13,CONTAM_doi_007.pdf
"HOGSTRAND, Christer",X. Interests of close family members,,,NO INTEREST,,,2015-10-29,CONTAM_doi_008.pdf
"HOOGENBOOM, Laurentius (Ron)",X. Interests of close family members,,,NO INTEREST,,,2015-10-06,CONTAM_doi_009.pdf
"KNUTSEN, Helle Katrine",X. Interests of close family members,,,NO INTEREST,,,2015-07-09,CONTAM_doi_010.pdf
"NEBBIA, Carlo Stefano",X. Interests of close family members,,,NO INTEREST,,,2015-11-29,CONTAM_doi_011.pdf
"OSWALD, Isabelle",X. Interests of close family members,,,NO INTEREST,,,2015-11-27,CONTAM_doi_012.pdf
"PETERSEN, Annette",X. Interests of close family members,,,NO INTEREST,,,2015-07-09,CONTAM_doi_013.pdf
"ROGIERS, Vera Maria",X. Interests of close family members,,,NO INTEREST,,,2015-04-21,CONTAM_doi_014.pdf
"ROSE, Martin",X. Interests of close family members,,,NO INTEREST,,,2015-05-01,CONTAM_doi_015.pdf
"ROUDOT, Alain-Claude",X. Interests of close family members,,,NO INTEREST,,,2015-04-16,CONTAM_doi_016.pdf
